Time Sequence,Head,Chest,Back,LUpperArm,RUpperArm,LLowerArm,RLowerArm,LHand,RHand,LThigh,RThigh,LLeg,RLeg,LFoot,RFoot,Neck,Pelvis
11,34.50599057,34.48844282,34.71757907,34.29442879,33.81563574,33.21806987,33.82600411,33.69372849,34.94883479,32.60091565,33.35626875,32.96270483,33.13013495,34.8036714,35.51754939,34.29295194,35.0027278
12,34.93990543,34.4990805,34.40472468,34.51753985,35.21412828,33.66634977,34.21378861,33.90635641,34.56506547,33.81619747,34.4757953,33.76186745,34.50149953,35.60909638,36.51486752,34.18641226,36.45771191
13,35.60186474,35.5841939,34.55927685,35.02785706,35.35984375,34.75769952,35.25973289,35.17099107,35.12013567,37.57833638,37.53529262,34.04553204,35.90327683,33.58480314,35.68686015,33.73973272,37.05115617
14,34.9154631,36.98595398,35.34805803,37.9513404,36.2047831,36.04334721,36.73706603,36.76762972,36.90217724,35.7076045,37.9990332,36.46977472,35.59763382,38.37702602,37.75432038,36.78947053,36.35079728
15,35.34030781,34.83819439,35.16930592,34.36970493,33.8818481,34.76368078,34.13169919,35.10380085,34.26775052,33.26756451,33.07079207,32.89993119,34.38407762,35.02573436,36.17387632,34.82219204,36.35310756
16,35.58822022,35.12766838,38.43177574,35.06191603,35.53493826,34.75549006,34.89950685,34.98965387,35.23999505,34.92587588,34.78464842,33.97918335,34.02311533,35.68335325,36.29163543,35.85747394,36.27865865
17,34.82973825,35.0926955,34.17558157,33.70032011,33.41960099,33.09280644,33.91084839,34.02472126,34.09731535,34.21937982,34.33401337,32.29335229,31.85721162,34.59145895,34.75100737,32.77559488,35.55821019
18,35.20438105,35.67256232,34.86241664,35.55058553,36.20251649,34.30977783,34.7859551,31.93038467,32.18914987,33.54670736,34.17095268,33.13288451,32.64342954,34.59641621,34.10879332,35.37996601,35.59147948
19,34.50599057,34.48844282,34.71757907,34.29442879,33.81563574,33.21806987,33.82600411,33.69372849,34.94883479,32.60091565,33.35626875,32.96270483,33.13013495,34.8036714,35.51754939,34.29295194,35.0027278
20,34.41012295,34.08516314,34.06499534,33.14433862,33.01575524,32.9031241,32.51530735,33.03134971,33.14172596,32.5170818,33.03922873,31.94382365,31.97433783,34.72622504,33.82897494,34.55854533,36.79401027
21,35.03516958,37.25173767,36.0202123,36.58401879,37.37624577,36.10498368,37.05788497,35.14170736,36.19485937,36.6819499,38.67292162,36.59297038,36.50566267,38.13383246,36.63958549,35.48566039,36.78706143
22,34.5406768,34.50935775,34.79174792,34.55974328,33.50750102,33.70609926,33.96004343,34.32151206,34.36280958,33.36377671,33.36987666,33.06677657,33.46185225,35.91864689,36.48762197,35.1709835,36.24106145
23,34.92775265,35.96415854,34.46117164,33.37173735,33.67280361,33.38783732,33.36326741,33.52918967,34.34958679,34.47061462,35.27977039,31.56011109,32.04906259,33.75867538,33.85330065,34.66435349,34.94773027
24,33.63318585,33.32067747,33.84188113,32.676917,32.58428078,32.74972487,32.61415197,32.33618166,31.74564354,33.62668173,33.57074764,32.12932068,31.83029929,34.03878562,34.18800114,33.08548878,33.55407575
25,35.03516958,37.25173767,36.0202123,36.58401879,37.37624577,36.10498368,37.05788497,35.14170736,36.19485937,36.6819499,38.67292162,36.59297038,36.50566267,38.13383246,36.63958549,35.48566039,36.78706143
26,34.5406768,34.50935775,34.79174792,34.55974328,33.50750102,33.70609926,33.96004343,34.32151206,34.36280958,33.36377671,33.36987666,33.06677657,33.46185225,35.91864689,36.48762197,35.1709835,36.24106145
27,34.92775265,35.96415854,34.46117164,33.37173735,33.67280361,33.38783732,33.36326741,33.52918967,34.34958679,34.47061462,35.27977039,31.56011109,32.04906259,33.75867538,33.85330065,34.66435349,34.94773027
28,33.63318585,33.32067747,33.84188113,32.676917,32.58428078,32.74972487,32.61415197,32.33618166,31.74564354,33.62668173,33.57074764,32.12932068,31.83029929,34.03878562,34.18800114,33.08548878,33.55407575
29,35.62553743,35.32277597,36.08028623,35.49325945,34.42368027,36.44625449,35.93567425,36.17539502,35.87508013,38.64609257,38.66619007,35.23706446,37.29426134,34.29242443,38.05092501,33.95751477,37.46609817
30,35.3532396,33.76195091,36.2939705,33.24637951,33.4669458,34.42198066,34.97018457,35.35043459,36.32167408,37.43566463,35.06033672,35.26604117,34.44583231,36.30071319,36.91002892,36.91427169,36.30734936
